Metrics;Nom Dossier;Op‚ration;Date de commande;Oblig‚;Statut;Type;Taux r‚ussite;Ce que j'attends ou derniŠre action r‚alis‚e;DerniŠre action;Prochaine action;Prochaine action;Responsable;R“le Actif-incitatif;D‚but Travaux;Fin de Travaux; KwH Convention ;Montant ?/MwHc HT;Montant Total HT;Taux B‚n‚ficiaire (?/MwHc) HT;Taux B‚n‚ficiaire (?/MwHc) TTC;Montant B‚n‚ficiaire (TTC);Taux Apport d'affaire;Part Apport d'affaire;Taux Cameo;Part Cameo;Date Chiffrage;Date Validation;Mois de d‚p“t pr‚visionnel;Fiches;Commentaires;VR
;ANGOULEME;;;A;PERDU;CH;0%;Abandon;;;;Ti;;;; 139 113   ;3,30 ?;459,07 ?;2,50 ?;3,00 ?;417,34 ?;;;0,80 ?;111,29 ?;S 10 2014;;;BAT-TH-12;;
CH Anthony;CH Anthony_Isolation toiture terrasse;;;A;PERDU;CH;0%;Report‚ sans date;3-juil.-14;;Peut-ˆtre en SME plus tard;Ti;04/10/2013;2014;2014; 661 320   ;3,30 ?;2 182,36 ?;2,50 ?;3,00 ?;1 983,96 ?;;;0,80 ?;529,06 ?;S 42 2013;S 45 2013;;BAT-EN-07;"Attente du retour de l'AFT sign‚ du CH et instal'
Envoy‚ le 18/06/2014";
CH Blois;CH Blois1_Isolation Toitures Terrasse;;2014;S;Travaux en cours;CH;100%;"Relanc‚"" pour savoir la fin de travaux le 18/02/2015 R‚pondu d‚but mars";18-f‚vr.-15;1-mars-15;"Editer  AFT + r‚cup‚rer preuves
";Ti;6-mai-14;1-juin-14;1-janv.-15; 12 976 200   ;3,50 ?;45 416,70 ?;2,65 ?;3,18 ?;41 264,32 ?;0,00 ?;0,00 ?;0,85 ?;11 029,77 ?;S 08 2014;S 21 2014;mai-15;BAT-EN-07;;X
CH Blois;CH Blois2_Fenˆtres;;2014;S;Travaux en cours;CH;100%;Editer  AFT + r‚cup‚rer preuves;26-juin-14;1-avr.-15;Editer  AFT + r‚cup‚rer preuves;Ti;6-mai-14;15-juil.-14;1-mai-15; 890 276   ;3,50 ?;3 115,97 ?;2,65 ?;3,18 ?;2 831,08 ?;0,00 ?;0,00 ?;0,85 ?;756,73 ?;S 19 2014;S 21 2014;juil-15;BAT-EN-04;;X
CH Cannes;CH Cannes_Op‚ration3_IFSI_Fenˆtres;;2014;S;Convention ;CH;100%;Convention re‡ue;22-d‚c.-14;;;Ti;15-sept.-14;12-oct.-14;30-mars-15; 1 205 477   ;3,50 ?;4 219,17 ?;3,00 ?;;0,00 ?;0,00 ?;0,00 ?;0,50 ?;602,74 ?;S 27 2014;;mai-15;BAT-RN-04;;X
CH Cannes;"CH Cannes_Op‚ration4_Isolla Bella
(6 fiches activables)";;2014;S;Convention ;CH;100%;Convention re‡ue;22-d‚c.-14;;;Ti;15-sept.-14;1-f‚vr.-15;15-avr.-15; 2 447 673   ;3,50 ?;8 566,86 ?;3,00 ?;;0,00 ?;0,00 ?;0,00 ?;0,50 ?;1 223,84 ?;S 27 2014;;juin-15;"BAT-EN-04
BAT-TH-26
IND-UT-16
IND-UT-16 (option)
BAT-TH-12
+ autre … d‚terminer";;X
CH Cannes;CH Cannes2_R‚cup de chaleur;;;T;PERDU;CH;0%;En attente, la r‚cup ne va pas se faire car pas de financement et problŠme de dimmensionnement pour calculer le gain ‚nerg‚tique;12-sept.-14;;En attente d'un rebondissement;Ti;10/12/2012;oct-14;nov-14; 12 148 000   ;3,50 ?;42 518,00 ?;3,00 ?;3,60 ?;43 732,80 ?;;;0,50 ?;6 074,00 ?;S 23 2013;S 25 2013;;IND-UT-17;N'arrive pas … avoir la facture antidat‚;
CH Issoudun;CH Issoudun_Isolation toiture terrasse;;2014;S;PERDU;CH;0%;Mail re-envoy‚ et relanc‚ par t‚l‚phone, il me transfŠre les infos;14-oct.-14;10-d‚c.-14;Relancer la r‚colte des preuves puis faire convention et faire point Caroline;Ti;A faire en anti dat‚ quand on aura tous les ‚l‚ments;24-juin-14;15-ao–t; 773 300   ;3,50 ?;2 706,55 ?;2,65 ?;3,18 ?;2 459,09 ?;0,00 ?;0,00 ?;0,85 ?;657,31 ?;S 18 2014;;;BAT-EN-07;;X
CH La Valette;CH La Vallette_Saint Maury;;2014;S;Attente valide;CH;100%;Convention re‡ue;1-d‚c.-14;10-janv.-15;Relanc‚ convention et demander date fin travaux;Ti;;1-nov.-14;juin ( … confirmer); 14 587 540   ;3,50 ?;51 056,39 ?;2,70 ?;;0,00 ?;0,00 ?;0,00 ?;0,80 ?;11 670,03 ?;S 28 2014;S 49 2014;avr-15;BAT-EN-05;;
CH Macon;CH Mƒcon;;2014;A;Travaux en cours;CH;100%;Relancer facture qui est cens‚e arriver d‚but janvier/ Relance pour savoir la fin des travaux;19-f‚vr.-15;15-mars-15;Facture puis ‚dition AFT;Ti;5-juin-14;15-ao–t-14;12-d‚c; 2 187 460   ;3,50 ?;7 656,11 ?;2,50 ?;3,00 ?;6 562,38 ?;0,00 ?;0,00 ?;1,00 ?;2 187,46 ?;S 13 2014;S 22 2014;mars-15;BAT-EN-05;;X
